Date,Account,Category,Subcategory,Note,INR,Income/Expense,Amount,Currency,Month,Day,Hour,Time_Diff
2022-01-10 14:04:00,CUB - online payment,Food,,Friday snacks with preethi gang,106.0,Expense,106.0,INR,1,Monday,14,-24.05
2022-01-08 13:46:00,CUB - online payment,Other,,From gowdham,260.0,Income,260.0,INR,1,Saturday,13,-48.3
2022-01-08 13:45:00,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,535.3,INR,1,Saturday,13,-0.016666666666666666
2022-01-08 13:38:00,CUB - online payment,Household,,Rent,4580.0,Expense,4580.0,INR,1,Saturday,13,-0.11666666666666667
2022-01-07 13:51:00,CUB - online payment,Food,,Coffee + biscuit,15.0,Expense,15.0,INR,1,Friday,13,-23.783333333333335
2022-01-06 21:30:00,CUB - online payment,Other,,From barath and shakur,440.0,Income,440.0,INR,1,Thursday,21,-16.35
2022-01-06 20:58:00,CUB - online payment,Food,,Ketch up,20.0,Expense,20.0,INR,1,Thursday,20,-0.5333333333333333
2022-01-06 20:13:00,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,877.81,INR,1,Thursday,20,-0.75
2022-01-06 14:22:00,CUB - online payment,Food,,Bingo,10.0,Expense,10.0,INR,1,Thursday,14,-5.85
2022-01-06 11:48:00,CUB - online payment,Transportation,,Rapido to pg,42.0,Expense,42.0,INR,1,Thursday,11,-2.566666666666667
2022-01-05 20:23:00,CUB - online payment,Food,,McDonald's with company,211.0,Expense,211.0,INR,1,Wednesday,20,-15.416666666666666
2022-01-05 14:46:00,CUB - online payment,Other,,Lended money returned to vishnu,40.0,Expense,40.0,INR,1,Wednesday,14,-5.616666666666666
2022-01-05 14:42:00,CUB - online payment,Other,,Lended money returned to kumara,30.0,Expense,30.0,INR,1,Wednesday,14,-0.06666666666666667
2022-01-05 14:42:00,CUB - online payment,Food,,Jan 2nd with shakur and barath,354.0,Expense,354.0,INR,1,Wednesday,14,0.0
2022-01-05 14:39:00,CUB - online payment,Other,,To gobi 1st 1/4th,500.0,Expense,500.0,INR,1,Wednesday,14,-0.05
2022-01-05 14:37:00,CUB - online payment,Other,,To abijith and to vicky lend money returned,500.0,Expense,500.0,INR,1,Wednesday,14,-0.03333333333333333
2022-01-05 14:35:00,CUB - online payment,Transportation,,Refund for bus ticket,60.0,Expense,60.0,INR,1,Wednesday,14,-0.03333333333333333
